,idx,Review,Rating,Length
1708,1708,likable story tell competence,1,4
1709,1709,originality sorely lack,0,3
1710,1710,especially half past dead like rock walmart budget,0,8
1711,1711,emotional overload female angst irreparably drag film,0,7
1712,1712,balance rich visual clarity deeply,1,5
1713,1713,along way myriad sign beneath familiar funny surface far bigger far meaningful story one little green men come earth harvest purpose,1,21
1714,1714,nononsense authority,1,2
1715,1715,idiocy,0,1
1716,1716,moviegoers real character compel plot,1,5
1717,1717,visually graceful,1,2
1718,1718,sappiness,0,1
1719,1719,picture use humor heartfelt conviction tell story discover destination life also acknowledge place people whence come,1,16
1720,1720,loose,0,1
1721,1721,look stylish,1,2
1722,1722,three lead produce adequate performances,1,5
1723,1723,drug abuse infidelity death nt usually comedy fare turpin film allow us chuckle angst,1,14
1724,1724,beautiful film watch,1,3
1725,1725,writerdirector david jacobson,1,3
1726,1726,saturday morning tv especially pseudoeducational stuff ca nt stand,0,9
1727,1727,neither romantic comedic,0,3
1728,1728,movie dawdle,0,2
1729,1729,fewer deliberate laugh inadvertent ones stunningly trite songs,0,8
1730,1730,goodnatured sometimes quite funny,1,4
1731,1731,complete waste time,0,3
1732,1732,largely devoid,0,2
1733,1733,cheesier cheesiest,0,2
1734,1734,piece model menace atmosphere,1,4
1735,1735,last summer bloat effect,0,4
1736,1736,lowbudget series uhf channel,0,4
1737,1737,satisfyingly scarify fresh oldfashioned time,1,5
1738,1738,prove difficult text lick despite efforts firstrate cast,0,8
1739,1739,use good laugh,1,3
1740,1740,someone make wallet,0,3
1741,1741,smartly direct grownup film ideas,1,5
1742,1742,dodge one,0,2
1743,1743,lowrent even lowerwit ripoff farrelly brothers oeuvre,0,7
1744,1744,play game absurd plot twist idiotic court maneuver stupid character even freeman ca nt save,0,15
1745,1745,really make case kissinger try war criminal,0,7
1746,1746,benefit enormously cockettes camera craziness,1,5
1747,1747,sparkle beauty,1,2
1748,1748,brown sugar admirably aspire another best man clone weave theme throughout funny film,1,13
1749,1749,feature one affect depictions love affair ever commit film,1,9
1750,1750,gulpilil command screen presence,1,4
1751,1751,lively,1,1
1752,1752,seem fresh,1,2
1753,1753,tend pile many serious issue plate time yet,0,8
1754,1754,good guy,1,2
1755,1755,movie silly beyond comprehension,0,4
1756,1756,dialogue drama often foodspittingly funny,1,5
1757,1757,clumsily stag violence overshadow everything include actors,0,7
1758,1758,cannibal lust ordinary,1,3
1759,1759,spin web dazzle entertainment may overstate,1,6
1760,1760,remind hong kong action cinema still alive kick,1,8
1761,1761,feel secondhand familiar good way,0,5
1762,1762,spectacularly,1,1
1763,1763,construct story even trace dramatic interest,0,6
1764,1764,conjure intoxicate fume emotional ghost freshly paint rembrandt,1,8
1765,1765,break tedium,0,2
1766,1766,ridiculousness,0,1
1767,1767,welldone film,1,2
1768,1768,funny,0,1
1769,1769,inhuman cinematic punishment,0,3
1770,1770,epic scope,1,2
1771,1771,pretend passionate truthful really frustratingly timid soggy,0,7
1772,1772,heartfelt performances,1,2
1773,1773,fan gosford park come assume another day brit cinema,0,9
1774,1774,poetic road movie,1,3
1775,1775,play like milquetoast movie week blow big screen,0,8
1776,1776,nothing like love give movie b12 shoot cq shimmer,1,9
1777,1777,figure late marriage,1,3
1778,1778,one rare film come flawless amount act direction story pace,1,10
1779,1779,teddy bear picnic rank,1,4
1780,1780,dismiss heroes would film nt painfully force false fabricate,0,9
1781,1781,right place,1,2
1782,1782,oddly sweet,1,2
1783,1783,recycle dumbeddown version love story,0,5
1784,1784,pacino williams seem keep up ante character film,1,8
1785,1785,secondrate,0,1
1786,1786,oldfashioned emotionally stir adventure tale kind,1,6
1787,1787,frustrate patchwork uneasy marriage louis begley source novel schmidt old payne screenplay,0,12
1788,1788,engage character,1,2
1789,1789,twist brilliant macabre,1,3
1790,1790,heavyhanded indictment parental fail indifference spanish social workers legal system towards child abuse,0,13
1791,1791,tootsie knockoff,0,2
1792,1792,need movies like tim mccann revolution 9,1,7
1793,1793,britney spear phoniness nothing compare movie contrive lame screenplay listless direction,0,11
1794,1794,unfortunately precisely arthur dong family fundamentals,0,6
1795,1795,cobble together onscreen,0,3
1796,1796,deftly capture wisebeyondheryears teen,1,4
1797,1797,wild comedy could spring demented mind,1,6
1798,1798,express basic emotions,1,3
1799,1799,part weight water come twoway timeswitching myopic mystery stall lackluster gear emotional blandness,0,13
1800,1800,huge gap,0,2
1801,1801,move revelatory footnote,1,3
1802,1802,nonmystery mystery,0,2
1803,1803,fascinate timely content,1,3
1804,1804,loneliness chilly anonymity environments many us spend much time,0,9
1805,1805,smart funny albeit sometimes superficial cautionary tale technology search artist,1,10
1806,1806,gutclutching piece,1,2
1807,1807,become another voyeuristic spectacle consume forget,0,6
1808,1808,subjugate truth,1,2
1809,1809,shallow sensationalism characteristic soap opera,0,5
1810,1810,lazy material finish product unshapely look,0,6
1811,1811,remember,1,1
1812,1812,real filmmaker,1,2
1813,1813,great film noir,1,3
1814,1814,film often preachy poorly act,0,5
1815,1815,disappoint comparison recent war movies,0,5
1816,1816,nt make sense,0,3
1817,1817,talky bore,0,2
1818,1818,bristle passion energy,1,3
1819,1819,successful career,1,2
1820,1820,genial romance maintain surprisingly buoyant tone throughout notwithstanding writers sporadic dip pop freudianism,1,13
1821,1821,brave challenge,1,2
1822,1822,pat inspirational status,1,3
1823,1823,beautifully film,1,2
1824,1824,move adventurous,1,2
1825,1825,somewhat cumbersome,0,2
1826,1826,place personal identity,1,3
1827,1827,plenty entertainment value,1,3
1828,1828,dazzle dream documentary,1,3
1829,1829,corpus amiable jerk,0,3
1830,1830,serious subject matter dark funny humor,1,6
1831,1831,unusual foodforthought cinema entertain instructive,1,5
1832,1832,bland murderoncampus,0,2
1833,1833,tear eye away,0,3
1834,1834,sort lowgrade dreck usually go straight video lousy script inept direction pathetic act poorly dub dialogue murky cinematography complete visible boom mikes,0,22
1835,1835,dickens word,1,2
1836,1836,satisfy destination,1,2
1837,1837,arguably best script besson write years,1,6
1838,1838,rougharoundtheedges lowbudget constraints,0,3
1839,1839,many go see attraction sole reason hot outside air condition inside,0,11
1840,1840,fun one,1,2
1841,1841,particularly memorable effect,0,3
1842,1842,ignore filmmakers clearly believe,0,4
1843,1843,highly predictable narrative,0,3
1844,1844,translate complex character novels big screen impossible task true essence yaya,1,11
1845,1845,realize place story go,0,4
1846,1846,nonetoooriginal,0,1
1847,1847,romp something say,1,3
1848,1848,zone episode,1,2
1849,1849,stultifyingly obvious one,0,3
1850,1850,like promise,1,2
1851,1851,kind sad many people put much time energy turkey,0,9
1852,1852,turntablism,1,1
1853,1853,well worth see,1,3
1854,1854,strain evident,0,2
1855,1855,unlike,0,1
1856,1856,upon hang broad mildly fleshedout character seem conjure 10 minutes prior film,0,12
1857,1857,bother go subjugate truth tearjerking demand soap opera,0,8
1858,1858,document cruelty suffer find devastate eloquent clarity,1,7
1859,1859,try pump life overwork elements eastwood dirty harry period,0,9
1860,1860,painful,0,1
1861,1861,dismiss moody,0,2
1862,1862,sorry use aaliyah one star role,0,6
1863,1863,fetid underbelly fame,0,3
1864,1864,would go back choose skip,0,5
1865,1865,work,1,1
1866,1866,expect,0,1
1867,1867,anybody enjoy quirky fun popcorn movies touch silliness little,1,9
1868,1868,wartorn croatia,0,2
1869,1869,terrific nadia russian mailorder bride come america speak word english,1,10
1870,1870,director randall wallace flagwaving war flick core decency,1,8
1871,1871,humor warmth,1,2
1872,1872,bother think,0,2
1873,1873,want money back,0,3
1874,1874,dong never push insights beyond superficial tensions dynamic dissect,0,9
1875,1875,highest performances attractive without memorable,1,5
1876,1876,hold interest midst mushy existential exploration men leave families,1,9
1877,1877,,0,1
1878,1878,eyre way become american indian spike lee,1,7
1879,1879,incessant,0,1
1880,1880,say do love piece trust,1,5
1881,1881,talk perfect movie many make,0,5
1882,1882,witless utterly pointless,0,3
1883,1883,aim funny uplift move sometimes,1,5
1884,1884,loose poorly structure,0,3
1885,1885,goodnatured fun find film like tremor,1,6
1886,1886,examine interior live character film much less,0,7
1887,1887,one rare docs paint grand picture era make journey feel like party,1,12
1888,1888,nt add,0,2
1889,1889,powerful tell story,1,3
1890,1890,freshly consider arguments bard immortal play,1,6
1891,1891,pomposity,0,1
1892,1892,cast deliver without sham rawnerved story,1,6
1893,1893,win family story,1,3
1894,1894,never catch fire,0,3
1895,1895,much come brave uninhibited performances lead actors,1,7
1896,1896,miss girls bigscreen blowout,1,4
1897,1897,charismatic rise star jake gyllenhaal also accomplish oscar winners susan sarandon dustin hoffman holly hunter yet newcomer ellen pompeo pull feat aplomb,1,22
1898,1898,paradiso rustedout ruin ultimate collapse film final restore third,0,9
1899,1899,much fun,1,2
1900,1900,recompense early laugh scatter around plot,1,6
1901,1901,poetic,1,1
1902,1902,entertain moments unintentional,1,3
1903,1903,great director,1,2
1904,1904,thank presence king also rock,1,5
1905,1905,martial artistry,1,2
1906,1906,littleremembered world,1,2
1907,1907,authentic feel,1,2
1908,1908,sweet home alabama nice harmless date film,1,7
1909,1909,dean mannerisms selfindulgence none sweetness vulnerability,0,6
1910,1910,quite miraculous dreamworks makers would believe adequately fill eye stir emotions,1,11
1911,1911,smarter offer,1,2
1912,1912,longfaced sad sack,0,3
1913,1913,poignant incessant use cell phone,0,5
1914,1914,playful highly study dependent success patient viewer,1,7
1915,1915,director night shyamalan weave eerie spell,1,6
1916,1916,negativity,0,1
1917,1917,great combination act narrator jewish grandmother subject,1,7
1918,1918,brian tufano handsome widescreen photography paul grabowsky excellent music,1,9
1919,1919,much force drama wildly uneven movie young man battle inescapable past uncertain future shapable largely unfulfilling present,0,17
1920,1920,steven spielberg dream blatant sicken product placement movie,0,8
1921,1921,funny generally insult,0,3
1922,1922,jostle farce thoughtful dialogue elbow aside oneliners visual style incorporate rotoscope animation apparent reason except,0,15
1923,1923,lateinning twist nt make sense,0,5
1924,1924,without doubt artist uncompromising vision vision begin feel morally bankrupt least terribly monotonous,0,13
1925,1925,shine gloomy film noir veil,0,5
1926,1926,year enjoyable release,1,3
1927,1927,bittersweet drama limbo grief truthtelling open door liberation,1,8
1928,1928,delightful minor pastry,1,3
1929,1929,latest gimmick unimaginative comedian,0,4
1930,1930,film lack momentum position remain mostly undeterminable,0,7
1931,1931,vulgar sexist racist humor,0,4
1932,1932,offbeat humor,1,2
1933,1933,find warmth coldest environment make crumb emotional comfort,1,8
1934,1934,viewers nt worry subject fart urine feces semen foul substances overrun modernday comedies,1,13
1935,1935,director cut film love song movies also fully example kind lush allenveloping movie experience rhapsodize,1,15
1936,1936,enough give brain strain,0,4
1937,1937,bad,0,1
1938,1938,sham actor workshops affect malaise,0,5
1939,1939,ca nt remember last time saw worse stunt edit cheaper action movie production value extreme ops,0,16
1940,1940,downplay raunch favor gag rely strength cleverness oppose extent outrageousness,1,10
1941,1941,couple hours summertime,1,3
1942,1942,confident filmmaking pair fascinate performances,1,5
1943,1943,pleasingly,1,1
1944,1944,complete mess,0,2
1945,1945,perfect,1,1
1946,1946,impossible care,0,2
1947,1947,cut hollywood satire,1,3
1948,1948,directors abandon script go moment take,1,6
1949,1949,wretchedly unfunny wannabe comedy inane awful,0,6
1950,1950,term lowgrade cheese standards operate,0,5
1951,1951,sometimes improbable story,0,3
1952,1952,sit open long,0,3
1953,1953,fact film idiotically use website feardotcomcom improperly hammy performance poor stephen rea,0,12
1954,1954,peculiar malaise,0,2
1955,1955,step richer,1,2
1956,1956,freshman,1,1
1957,1957,well groupiescholar peter bogdanovich take long time finally provide broadside publish giant william randolph hearst,1,15
1958,1958,actress,1,1
1959,1959,cheesy screenplay,0,2
1960,1960,tricky tightrope wickedly funny plain wicked,1,6
1961,1961,never really bust comfy little cell,0,6
1962,1962,hollow selfindulgent worst bore,0,4
1963,1963,sustain buoyant energy level film city beginnings,1,7
1964,1964,top,1,1
1965,1965,point often tender examination pros con unconditional,1,7
1966,1966,create sustain mood,1,3
1967,1967,real movie,1,2
1968,1968,see justice serve,1,3
1969,1969,entertain enough nothing new,0,4
1970,1970,leaden,0,1
1971,1971,every aggrieve father cliché unturned,0,5
1972,1972,americans finally revel splendor,1,4
1973,1973,delicious pulpiness,1,2
1974,1974,notwithstanding writers sporadic dip,0,4
1975,1975,better one might expect look list movies star icet major role,1,11
1976,1976,ellen pompeo sit next ride,1,5
1977,1977,girls go wild video boho arthouse crowd burn sensation nt definitive countercultural document,0,13
1978,1978,useful tell story paperthin decidedly unoriginal,0,6
1979,1979,utter sincerity,1,2
1980,1980,ticket need,1,2
1981,1981,kind laugh therapy,1,3
1982,1982,pass sex movies look like cheap hysterics,0,7
1983,1983,character,1,1
1984,1984,enough give film substance desperately need,0,6
1985,1985,blue hilarity,1,2
1986,1986,laughable rather,0,2
1987,1987,unless absolute rave star war junkie nt much fun,0,9
1988,1988,burden actor,0,2
1989,1989,sympathy intelligence,1,2
1990,1990,best script,1,2
1991,1991,astonish voice cast,1,3
1992,1992,unchanged dullard,0,2
1993,1993,right home french shocker play usual bad boy weirdo role,1,10
1994,1994,warmth wit interest character compassionately portray,1,6
1995,1995,nothing else happen,0,3
1996,1996,cable,0,1
1997,1997,ring,1,1
1998,1998,far groundbreaking endeavor,0,3
1999,1999,women spectacular,1,2
2000,2000,seem tiresomely simpleminded,0,3
2001,2001,revel entertain shallow,1,3
2002,2002,good music documentary,1,3
2003,2003,wewannour money back actually,0,4
2004,2004,make please verisimilitude,1,3
2005,2005,animation back 30 years musicals back 40 years,0,8
2006,2006,mysterious sensual emotionally intense replete,1,5
2007,2007,goodhearted ensemble comedy variety quirky character engage story,1,8
2008,2008,take credit movie success,1,4
2009,2009,still update dickensian sensibility writer craig bartlett story appeal,1,9
2010,2010,satisfy wellmade romantic comedy,1,4
2011,2011,cram scenes vistas pretty moments,1,5
2012,2012,impressive performances,1,2
2013,2013,great one,1,2
2014,2014,prove unrelentingly grim equally engross,1,5
2015,2015,cerebral cinemantic flair,1,3
2016,2016,oodles charm,1,2
2017,2017,one whose view america history awkwardness human life generous deep,1,10
2018,2018,xxx diesel rare creature action hero table manners one prove elegance tattoo deep,1,13
2019,2019,exactly endear,1,2
2020,2020,churn one two flagrantly fake thunderstorms underscore action,0,8
2021,2021,constantly flow forward back weave theme among three strand allow us view events prism,1,14
2022,2022,kline utterly convince deeply appeal noble teacher embrace strict moral code,1,11
2023,2023,deliver magnetic performance,1,3
2024,2024,sumptuous work,1,2
2025,2025,innocent childlike inherently funny,1,4
2026,2026,stick script prevent fire cylinders,0,5
2027,2027,likeable thank cast cuisine quirky tune,1,6
2028,2028,black culture dorkier aspects,0,4
2029,2029,crap,0,1
2030,2030,consume lust love crush betrayal conjure intoxicate fume emotional ghost freshly paint rembrandt,1,13
2031,2031,sodden glum,0,2
2032,2032,frequently hilarious,1,2
2033,2033,panic room interest nothing suck make sweat,1,7
2034,2034,nt laugh,0,2
2035,2035,glue,1,1
2036,2036,fault,0,1
2037,2037,nice twist,1,2
2038,2038,already tire,0,2
2039,2039,root film,1,2
2040,2040,dumb sweet intermittently hilarious,1,4
2041,2041,refreshingly forthright one,1,3
2042,2042,somehow manage get spell,1,4
2043,2043,salient point,1,2
2044,2044,cruel story,0,2
2045,2045,defuse provocative theme submerge hoary love triangle,1,7
2046,2046,pretentious mess,0,2
2047,2047,campanella competent direction excellent cast overcome obstacles predictable outcome screenplay gloss rafael evolution,1,13
2048,2048,ca nt accuse kung pow misfire since exactly want atrociously mindnumbingly indescribably bad movie,0,14
2049,2049,derivative overlong bombastic,0,3
2050,2050,high infidelity,0,2
2051,2051,admirable energy fullbodied characterizations narrative urgency,1,6
2052,2052,cultureclash comedy addition funny,1,4
2053,2053,yet end,1,2
2054,2054,actually mean face fear,1,4
2055,2055,word english,0,2
2056,2056,wellintentioned,1,1
2057,2057,wickedly sick twist humor,1,4
2058,2058,african american professionals,1,3
2059,2059,tip film range,1,3
2060,2060,reputedly unfilmable novels buck odds emerge exquisite motion picture right,1,10
2061,2061,emotionally narratively complex,1,3
2062,2062,consider perfection,1,2
2063,2063,structure rhythms,1,2
2064,2064,silly,0,1
2065,2065,impressive yet lack everything,0,4
2066,2066,starve untalented,0,2
2067,2067,get clunky screen,0,3
2068,2068,none crackle fatal attraction 9 12 weeks even indecent proposal feel like lyne stolid remake lolita,0,16
2069,2069,personality,1,1
2070,2070,bleed almost completely dry humor verve fun,0,7
2071,2071,fail rise disgust source material,0,5
2072,2072,jolly funforfun sake communal spirit go essence broadway,1,8
2073,2073,intrigue look french film industry german occupation delightful moments come various character express quirky inner selves,1,16
2074,2074,many distract special effect visual party trick,0,7
2075,2075,disappoint,0,1
2076,2076,time machine journey back childhood care melt away dark theater film ability mesmerize astonish entertain,1,15
2077,2077,difficult audience,0,2
2078,2078,utterly misplace,0,2
2079,2079,spirit film,1,2
2080,2080,makers doingitfor thecash sequel,0,4
2081,2081,awaken ripen,1,2
2082,2082,rote work predictable philosophical visual come right end extravagantly redeem,1,10
2083,2083,complex,1,1
2084,2084,conjure 10 minutes prior film,0,5
2085,2085,bear grievous obscure complaint father,0,5
2086,2086,insultingly inept artificial examination grief impact upon relationships survivors,0,9
2087,2087,watch monkey fling feces,0,4
2088,2088,visually flashy narratively opaque emotionally vapid exercise style mystification,0,9
2089,2089,blade ii nt cut,0,4
2090,2090,seem like lift terry gilliam subconscious press kafka meat grinder buñuel case,0,12
2091,2091,taste shock humor wear thin,0,5
2092,2092,soulstirring documentary,1,2
2093,2093,matter plumb arrangements mind game erotic sensuous charge,0,8
2094,2094,uncanny ability right precisely think danger go wrong,1,8
2095,2095,appeal couple,1,2
2096,2096,juwanna mann,1,2
2097,2097,conspicuously miss girls bigscreen blowout,0,5
2098,2098,extend openended poem,1,3
2099,2099,selfconscious seam,0,2
2100,2100,weird thing,0,2
2101,2101,filmmaker extraordinary access massoud whose charm cultivation devotion people readily apparent,1,11
2102,2102,damn funny stuff,1,3
2103,2103,film 80 minutes actually quite entertain,1,6
2104,2104,despite visual virtuosity naqoyqatsi banal message choice material convey,0,9
2105,2105,low poorly,0,2
2106,2106,unconvincing soap opera tornatore right cut,0,6
2107,2107,nt get pay enough sit crap like,0,7
2108,2108,version raise notch kiddie fantasy pablum allen astringent wit,1,9
2109,2109,godfrey reggio career shin like lonely beacon,1,7
2110,2110,overstay natural run time,0,4
2111,2111,clinically depress abandon slim hop dream,0,6
2112,2112,compel story,1,2
2113,2113,turn fanciful grisly engagingly quixotic,1,5
2114,2114,finale impenetrable dull,0,3
2115,2115,text lick,0,2
2116,2116,like extend dialogue exercise retard 101,0,6
2117,2117,introduce intrigue allure premise,1,4
2118,2118,charm cultivation devotion,1,3
2119,2119,though ride zipper eat corn dog extralarge cotton candy,0,9
2120,2120,feel like three hours,0,4
2121,2121,wellwritten,1,1
2122,2122,parent beware downright movie penance,0,5
2123,2123,choppy monosyllabic despite fact,0,4
2124,2124,potential success,1,2
2125,2125,pale xerox better crime movies,0,5
2126,2126,reflective beautifully,1,2
2127,2127,leave theater smile face,1,4
2128,2128,blazingly alive admirable many level,1,5
2129,2129,one baaaaaaaaad movie,0,3
2130,2130,unfunny,0,1
2131,2131,get comedy settle,0,3
2132,2132,hoary,0,1
2133,2133,assayas homage gallic tradition quality,1,5
2134,2134,bore watch morvern callar character,0,5
2135,2135,blood work prove long long time ago,0,7
2136,2136,american,1,1
2137,2137,unimaginative screenwriter,0,2
2138,2138,like original short story movie even hour twentysome minutes,0,9
2139,2139,even drag force reflect visual imagination breathtaking,1,7
2140,2140,stylishly,1,1
2141,2141,mess one,0,2
2142,2142,essentially ruin rather,0,3
2143,2143,work extraordinary journalism also work deft subtle poetry,1,8
2144,2144,promise threat much wishful think,0,5
2145,2145,fessenden nurture metaphors expense narrative,0,5
2146,2146,hokey piece nonsense try hard emotional,0,6
2147,2147,rope snap,0,2
2148,2148,tuxedo miscalculate badly force star play second fiddle dull effect allow suit come life,0,14
2149,2149,fanciful drama,1,2
2150,2150,deliver promise excitement,1,3
2151,2151,deeply move french drama,1,4
2152,2152,bighearted,1,1
2153,2153,longley film lack balance fail put struggle meaningful historical context,0,10
2154,2154,sad end,0,2
2155,2155,tsai welldeserved reputation one cinema world great visual stylists film every shoot enhance excellent performances,1,15
2156,2156,adorable italian guy,1,3
2157,2157,critical,0,1
2158,2158,doubt star everyone else involve hearts right place,1,8
2159,2159,exquisite craftsmanship,1,2
2160,2160,many talented people convince waste time,0,6
2161,2161,tens,1,1
2162,2162,maybe lucky power outage screen get money back,0,8
2163,2163,matter plumb arrangements mind game erotic sensuous charge,0,8
2164,2164,silly humbuggery,0,2
2165,2165,may prove tsai masterpiece,1,4
2166,2166,type chris rock anthony hopkins terrorists univaclike script machine,0,9
2167,2167,might movie look,1,3
2168,2168,affection,1,1
2169,2169,love come american director years,1,5
2170,2170,resonant film since killer,1,4
2171,2171,work,1,1
2172,2172,name allegedly inspire easily marketable flick emperor club turn blind eye history pretend teach,0,14
2173,2173,widowmaker derivative overlong bombastic yet surprisingly entertain,1,7
2174,2174,ash wednesday essentially devoid interest character even halfway intrigue plot,0,10
2175,2175,great,1,1
2176,2176,spirit visual imagination remind animation perfect medium children way allow mind enter accept another world,1,15
2177,2177,judge standards scratch pretty decent little documentary,1,7
2178,2178,engage surprisingly touch british comedy,1,5
2179,2179,energy geniality please fanatical adherents either side also people know nothing subject think interest,1,14
2180,2180,confident filmmaking pair fascinate performances,1,5
2181,2181,avoid ghetto sentimental chickflicks treat female follies satirical style,0,9
2182,2182,one scene get stab soccer hooliganism doublebarreled ripoff quentin tarantino climactic shootout meat loaf explode,0,15
2183,2183,sugarcoat rocky whose valuable message forget 10 minutes last trombone honk,0,11
2184,2184,death especially,0,2
2185,2185,dynamic first act,1,3
2186,2186,fail fundamentally every conventional level,0,5
2187,2187,daft half supremely good natured,1,5
2188,2188,worst sin attributable movie like,0,5
2189,2189,always appreciate smartly write motion picture whatever flaw igby go may possess undeniably,1,13
2190,2190,film plot may shallow,0,4
2191,2191,rotten almost every single facet production want crawl embarrassment,0,9
2192,2192,epic,1,1
2193,2193,easy like,1,2
2194,2194,steer feature film debut create brilliant motion picture,1,8
2195,2195,inelegant combination two unrelated short fall far short director previous work,0,11
2196,2196,rare find film adjective gentle apply,1,6
2197,2197,director begin resemble someone crazy french grandfather,0,7
2198,2198,frailty write well even simple goddammit,1,6
2199,2199,uncomfortably strain,0,2
2200,2200,make film silly scary,0,4
2201,2201,make worth watch,1,3
2202,2202,one moronic screenplays year full hole obvious even nt look,0,10
2203,2203,huge disappointment come,0,3
2204,2204,deliver rivet surprisingly romantic ride,1,5
2205,2205,rest cast come across stick figure read line teleprompter,0,9
2206,2206,typical hollywood disregard historical truth realism work,0,7
2207,2207,ca nt help feel stoke,1,5
2208,2208,wonderful imaginative script,1,3
2209,2209,entirely witless,0,2
2210,2210,akin reader digest condense version source material,0,7
2211,2211,fun,1,1
2212,2212,ponderous work shallow entertainment remotely incisive enough qualify drama monsoon,0,10
2213,2213,show indie tatters selfconscious seam place,0,6
2214,2214,unfold mount tension expert thriller,1,5
2215,2215,film rarely entertain could,0,4
2216,2216,obscenity,0,1
2217,2217,stitch together stock situations character movies,0,6
2218,2218,view pure composition form,1,4
2219,2219,look clever angle,1,3
2220,2220,best film year exquisite act inventive screenplay mesmerize music many inimitable scenes,1,12
2221,2221,surprisingly somber conclusion,1,3
2222,2222,learn invent remarkable new trick,1,5
2223,2223,tepid,0,1
2224,2224,something say studioproduced film never bother hand viewers suitcase full easy answer,1,12
2225,2225,lowgrade cheese standards operate,0,4
2226,2226,give willies,0,2
2227,2227,lee treat audience way jim brown treat women dumb credulous unassuming subordinate subject,0,13
2228,2228,credible remarkably mature,1,3
2229,2229,highlight gritty style excellent cast better one might expect look list movies star icet major role,1,16
2230,2230,unsung heroes 20th century,1,4
2231,2231,actually sort amaze,1,3
2232,2232,rare movie work number level film magic whimsy children heartfelt romance teenagers compel argument death pro con adults,1,18
2233,2233,young star cute story ensue complications manipulative message blatant,0,9
2234,2234,streetwise mclaughlin group,1,3
2235,2235,funny wellcontructed,1,2
2236,2236,mire shabby script pile layer upon layer action man cliché atop wooden dialogue shift tone fall far short peculiarly moral amorality woo best work,0,24
2237,2237,oversimplification superficiality silliness,0,3
2238,2238,overproduce,0,1
2239,2239,halfanhour long tv special humor would fast furious ninety minutes drag,0,11
2240,2240,though scratch surface,0,3
2241,2241,awash selfconsciously flashy camera effect drone house music flat flat dialogue,0,11
2242,2242,visual splendor,1,2
2243,2243,linger question film really get,0,5
2244,2244,action film mire stasis,0,4
2245,2245,dragon,1,1
2246,2246,intense,1,1
2247,2247,visually stun rumination love memory history war art commerce,1,9
2248,2248,convince arnie musclefest little much resonance real world events ultimately come insultingly simplistic,0,13
2249,2249,carry men marginal intelligence,0,4
2250,2250,dialogue cut chase modern girl dilemma,1,6
2251,2251,plot make sense,0,3
2252,2252,bad none funny,0,3
2253,2253,seem tiresomely simpleminded,0,3
2254,2254,combine improbable melodrama gore bullfighters comatose ballerinas subtly kinky bedside vigils sensational denouements yet end,0,15
2255,2255,twohy good yarnspinner ultimately story compel,1,6
2256,2256,wellmeant,1,1
2257,2257,bad need major act lessons maybe little coffee,0,8
2258,2258,america thirst violence,0,3
2259,2259,horrendously confuse,0,2
2260,2260,avarice,0,1
2261,2261,struggle nobody,0,2
2262,2262,talkiness,0,1
2263,2263,ballistic ecks vs sever seem safe children film,0,8
2264,2264,ignore reputation ignore film,0,4
2265,2265,manage spectacularly outrageous,1,3
2266,2266,cookiecutter action scenes,0,3
2267,2267,best since last waltz,1,4
2268,2268,lawrence overindulgent tirade,0,3
2269,2269,pale imitation,0,2
2270,2270,wither,0,1
2271,2271,pass thirteenyearold book report,0,4
2272,2272,windtunnel simply astound corblimeyluvaduck cockney accent,1,6
2273,2273,write skew character,0,3
2274,2274,provoke,1,1
2275,2275,remarkable skill,1,2
2276,2276,stuff disney movies make,1,4
2277,2277,enough sentimental,1,2
2278,2278,crawl,0,1
2279,2279,enough intelligence wit innovation screen attract sustain older crowd,0,9
2280,2280,send theater feel,1,3
2281,2281,sundrenched masterpiece part parlor game part psychological case study,1,9
2282,2282,engage comedy,1,2
2283,2283,certainly entertain ride despite many talky slow scenes,1,8
2284,2284,strong performances,1,2
2285,2285,smorgasbord soliloquies nothing deliver former mr draw barrymore,0,8
2286,2286,fold thinness,0,2
2287,2287,virtually collapse inhalant blackout maintain consciousness long enough achieve callow pretension,0,11
2288,2288,conceptual feat,1,2
2289,2289,sit dahmer two hours amount little punishment,0,7
2290,2290,genuine rather pander,1,3
2291,2291,randolph,1,1
2292,2292,great knock back beer simply funny performers,0,7
2293,2293,miss something,0,2
2294,2294,porno flick,0,2
2295,2295,gorgeous film vivid color music life,1,6
2296,2296,simply accident,0,2
2297,2297,nothing special,0,2
2298,2298,never bother question somebody might devote time see,0,8
2299,2299,movie lack ideas,0,3
2300,2300,cynicism,0,1
2301,2301,take entirely stale concept,0,4
2302,2302,wit interest character,1,3
2303,2303,alltime low kevin costner,0,4
2304,2304,stylish steady ultimately satisfy piece characterdriven storytelling,1,7
2305,2305,interest exercise talented writerdirector anderson,1,5
2306,2306,surprise flair,1,2
2307,2307,like enough,1,2
2308,2308,uneasy mix runofthemill raunchy humor seemingly sincere personal reflection,0,9
2309,2309,grand fart come director begin resemble someone crazy french grandfather,0,10
2310,2310,backstory little tire,0,3
2311,2311,nothing audience sit back enjoy couple great actors ham,1,9
2312,2312,huppert magnificent,1,2
2313,2313,puzzle whose piece fit,0,4
2314,2314,sorority boys bad cruel,0,4
2315,2315,long good,0,2
2316,2316,empty fetishistic violence murder casual fun,0,6
2317,2317,intrigue,1,1
2318,2318,character decisions unsatisfactorily,0,3
2319,2319,powerful naturally dramatic piece lowbudget filmmaking,1,6
2320,2320,perhaps cliche call film refresh,1,5
